Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr
0.313317858158986	0.0281717013288219	0.640507868883898	0.356166305322026	0.222288007831577	0.156226086654108	0.0855697897705197	0.387848678514834	0.250688864665279	0.699170637334198	0	0.0044110734741685	0.00642122363435931	0.0212601375792138	0.359492131116102	0	0.00721828269359717	0.0655759031831879	0.00464023373617844	0	0	0	0.0432544909257986	0	0	0	0.0108322971085278	0.638537543180113	0.177486224233322	1
0.202805929622287	0.0510724659595884	0.632203587058451	0.303331236734899	0.181524209577964	0.149561371599036	0.127380911189712	0.233545471395116	0.115787346585797	0.653157507227788	0	0.000798967053455194	0.000440821301516997	0.0120261225028323	0.367796412941548	0	0.0114725605800288	0.044858271133077	0	0	0	0	0.0321362186752071	0	5.10076502161496e-10	0	0.00123978835497219	0.349332817980914	0.161587494101868	1
0.195480786605441	0.00204763938467996	0.718919818699026	0.40850405441874	0.111584057378459	0.178180076103893	0.0979282388670099	0.328495755642041	0.188001540779352	0.706381950328546	0	0.0060740242795242	0.00464027266727404	0.00426434549967328	0.281080181300974	0	0.044190338573126	0.0108260996073085	1.70088882773898e-06	3.47995400305951e-06	6.73667465162172e-06	0	0.0374019505832147	0	9.65030935247782e-07	0	0.0107142969467982	0.516497296421393	0.182444421603566	1
0.244542164077119	0.00174858079878018	0.680444316521675	0.314597986232671	0.140279207216484	0.180779034399825	0.122237469484556	0.422667750212157	0.234949053982379	0.695996952211193	0	0.00575114212834993	0.00443353584651946	0.000234824037398794	0.319555683478325	0.0592679696320543	0.00987802903575521	0.0800159642172733	0	0.0136955566043735	0	0	0.0397307590161058	0	0.0143314651242618	0	0.0101846779748694	0.657616804194536	0.181013858437224	1
0.19294693308058	0.0508580617618402	0.619658028069626	0.274432491894547	0.261187168896296	0.150463355531243	0.143057697928757	0.318337456460988	0.229844266178905	0.744983910480208	0	0.00506852480891651	0.00671271286601711	0.0427771607270174	0.380341971930374	0.000604859814165444	0.0166191611650423	0.0644744271768378	0	0.0195333930728625	0	0.0157843418101356	0.0341049979061798	0	0.00589068562025792	0	0.0117812376749336	0.548181722639893	0.19324051625826	1
0.293038401150884	0.0232575562675265	0.604594781066686	0.254919064003141	0.191832198473071	0.181405149403834	0.150770797673085	0.292365056960257	0.192949838314116	0.685773591284147	0	0.00724902875814019	0.0250790692324489	0.00898542072163281	0.395405218933314	0	0.0117661452294256	0	0	0	0	0	0.0586812368274209	0	0.00565920877221108	0	0.0323280979905891	0.485314895274373	0.190390570125466	1
0.150493795823937	0.00255142660988194	0.785818692721895	0.455322222274787	0.2142702968759	0.195917942433586	0.143435621706518	0.166917031245389	0.0846577211580665	0.833111689846288	0	0.00403705899022861	0.00638213242513608	0.0233986764316874	0.214181307278105	0	0.0261988373991697	0.0349191954576643	7.25681202753607e-07	0	3.45603953984041e-07	1.08738536854635e-06	0.0360071387341338	0	0	0	0.0104191914153647	0.251574752403455	0.219316618865273	1
0.451592162953275	0.0396806830214642	0.619535343816303	0.217233449223347	0.388204272769359	0.183520558699997	0.0609970852907872	0.424931258051049	0.312772692376126	0.825167853141691	0	0.00745110172285323	0.00690103964698649	0.000860899310358471	0.380464656183697	0	0.0223372827162793	0	4.98317021955931e-07	4.19674645965077e-06	0	0	0.0529613312974171	0	2.79674386110947e-05	0	0.0143521413698397	0.737703950427175	0.184381458010356	1
0.119551814412222	0.0097887689309173	0.953110880911906	0.387385674502832	0.875800798542057	0.00765833672377091	0.257603338084773	0	0	0.337870843526002	0	0.0336580998759471	0.0133810911562476	0.178952162747084	0.0468891190880941	0.32802664414451	0.0129191547225389	0.346530907161115	0.0192992947434995	2.7848279306497e-08	2.56234790794004e-08	3.02218512949556e-08	0.120310995846753	0.0113984038821498	0.00765031819800903	0	0.0470391910321947	0	0.186610499470855	1
0.422480140265744	0.0286635431823871	0.622972384141029	0.22578843094972	0.264025290764751	0.179013944429485	0.0863518066091415	0.411809007859927	0.166066214369753	0.733821663374808	0	0.0102476547213093	0.0789065120971314	0.00668038611211333	0.377027615858971	0	0	0.0681001920073864	3.35471124032838e-10	3.76231704633415e-07	8.95972918409865e-11	0	0.0512450429268153	2.72525741031959e-10	0	0	0.0891541668184407	0.57787522222968	0.185694330541599	1
0.00383799464605502	0.0128976196743261	0.530440444495923	0.365889328596705	0	0.154154438224112	0.151632656422919	0.0731498598105402	0.0513578510503822	0.550006015018829	0	0.00284377864756738	0.00606071867660494	0	0.469559555504078	0	0	0.0269086871974242	9.16384667338733e-06	9.06304039989722e-07	4.45032039799002e-06	9.75365593930808e-06	0.0170946950622371	1.072183947624e-05	0	0	0.00890449732417232	0.124507710860922	0.154154438224112	1
0.211762321528305	0.00673878029120073	0.698421642353996	0.333105905984684	0.334814915389033	0.14252929406975	0.110006550866547	0.318832367417727	0.210301667333914	0.734597719074982	0	0.0271339969858978	0.00754206026405977	0.0402871395460488	0.301578357646004	0	0	0.132798947011457	0	1.53234657931494e-05	3.16026470625391e-06	6.44769061280968e-08	0.0562069946233429	5.93649608935292e-06	0	0	0.0346760572499575	0.529134034751641	0.182816433615798	1
