Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr	GABAplus
0	0	0.0012120668538302	0	0.138553874038821	0.0501154933849086	0.718792087763924	0.354101626756869	0.839888365789921	0	0.029985825152845	0.15877057348488	0.00451942393178404	0.0570630005282973	0.0187391313109049	0	0	0	0.137510327671547	0	0.0198893382300709	0	0	0	1.10482000967403e-18	0	0.163289997416664	1.19398999254679	0.107178493913206	0.0199511981647351	0.276064201710367
0.000167233220324514	0.000354786993454906	0	0.00197693546225988	0.170972291423857	0.149993595691384	0.593839756343802	0	1.29441797098232	0.476046929089397	0.175241622394575	0.00312031465219738	0	0.196844710282072	0	0	0.00997276296107175	0	0.125813300171453	0	0	0	0	3.09110560870206e-18	0	4.05736386973393e-18	0.00312031465219738	1.29441797098232	0.346838305973456	0	0.29678559159531
0	0	0.00520106265780319	0	0.116725879439594	0.0479898193676842	0.695915157660946	0.152567923273579	1.08162602957425	0	0	0.130638432355445	0	0.0228308889229045	0.0174595072864062	0	0.00283171044762239	0	0.149319096243296	6.34542724949188e-05	0	0.00873085164910861	0.000695941194846334	0	6.42383224103582e-18	0	0.130638432355445	1.23419395284783	0.0708207082905887	0.0226605699442094	0.26604497568289
7.37420969881573e-06	0.0879364976497592	0	0	0.117644193267271	0.0131531194995051	0.546531969728556	0.0580286957027661	1.1414794790222	0.181154679478731	0.0727297383214793	0.00460668295736822	0	0	0	0	0.0160551552806522	0.0996380642173841	0.121172610454072	0	0	0	0	0	0	0	0.00460668295736822	1.19950817472496	0.0131531194995051	0	0.238816803721343
0.0194490234684337	0.199668004052296	0	0	0.225470160093725	0	0.436704223704136	0.834076521945785	0.534908951867784	0.729107929178997	0.878994803187805	0.0261707914924725	0	0	0	0	0.0258363582052814	0.232195026096867	0.123723071997342	0	0	0	0	6.21676229718847e-18	5.13069487886452e-18	0	0.0261707914924725	1.36898547381357	0	0	0.349193232091067
0	0	0	0.000533868232810496	0.126585525682882	0.0374981783724606	0.560460222141284	1.71254281553255e-06	1.02750192787554	0.0689237761220588	0.0783741657493836	0.00941044882491036	0	0.0368395220957087	0	0	0.00207858752904144	0	0.136139744009153	0	0	0	0	0	0	6.52489343105164e-18	0.00941044882491036	1.02750364041836	0.0743377004681693	0	0.262725269692035
0	0	9.65126505272515e-05	0	0.205567652371817	0	0.809274340949163	0.268829809355834	0.831977492646086	0.056059340786738	0	0.153734792137933	0.00831391766988508	0	0	0	0.000119713483266361	0	0.141014926161255	0	0	0	0	1.67757821045725e-17	0	0	0.162048709807818	1.10080730200192	0	9.65126505272515e-05	0.346582578533072
0	0	0.00839077296327456	0	0.201233868041071	0	0.804437169445251	0.345807566740347	0.963717954452389	0.00726683634506204	0.0737382362705239	0.135112706477258	0	0	0.00592944444429166	0	0.0117421417870114	0	0.123544524988185	0	0	0	0	1.37658401469543e-17	1.83887149524687e-17	2.2050497491576e-17	0.135112706477258	1.30952552119274	0	0.0143202174075662	0.324778393029256
0.0354132416576165	0.105117377538029	0	0.000927625114684684	0.268644932748161	0	1.15229707716117	0.693685027198815	0.246160948925291	0.042662093283624	0.00115101745492037	0.011496276222155	0	0	0	0	0.00405231321302059	0.0739315808016344	0.0972102927790069	0	0	0	0	0	2.51507643881897e-19	0	0.011496276222155	0.939845976124106	0	0	0.365855225527168
0	0.160847898015045	0	0	0.18858502383457	0.00385449664316831	0.43870381005457	0.615140927504167	0.829636444794178	0.47432328022989	0	0.00785798180262869	0	0.0443296717298979	0	0	0.0255901906869379	0.324858454638507	0.134160455767194	0	0	0	0	0	6.46530521539226e-19	4.30255145122685e-18	0.00785798180262869	1.44477737229834	0.0481841683730662	0	0.322745479601764
0	0	0.00752772536584024	0	0.134176597712257	0	0.59657772280853	0.143988104520163	0.879194406681329	0.0376975003652329	0.00723229683205038	0.165938931283644	0	0	0.000752534294747847	0	0	0	0.14774013550456	0	0.00152872875068761	0	0	0	1.02099503826679e-18	5.68299602998812e-19	0.165938931283644	1.02318251120149	0	0.00828025966058809	0.281916733216817
0	0	0.0163415570116042	0	0.168122530551782	0.0176410370644215	0.534215461156357	0.0486746131903453	1.37451053252103	0.00428487802520701	0	0.144190940741408	0	0	0.0174435425514222	0	3.66611907674577e-09	0.0189659522306832	0.112255867639674	0.0080775699492384	0.00785943332149419	0	0	1.99824944893176e-18	7.12929820497354e-18	1.85610143886254e-18	0.144190940741408	1.42318514571137	0.0176410370644215	0.0337850995630264	0.280378398191455
