Cr_SNR	Cr_FWHM	water_FWHM	residual_water_ampl	freqShift	relResA	relResdiff1
144.439205539981	5.48875464875511	6.81854194397299	0.000204355825107637	-6.3497745420549	7.37039738249713	1.72071313338221
115.693508651337	6.30803961416142	7.49963138881801	0.000213402320475447	-6.20742466358952	7.08664472203309	1.13471669372226
161.706659651257	5.18133001613045	6.48966562313114	0.000204906996650645	-3.39921599120536	7.81930488872703	1.44921873564635
173.377009464548	5.38055628584706	6.44205522462969	0.000192651742085152	-6.37841008287051	12.5113180158655	1.41161736768484
126.736338209065	6.33525633711772	7.82261353467731	0.000198908938123568	-6.33400233917378	6.74164426443221	1.20166489941154
166.220559544988	5.75006152947539	6.39799559917726	0.00023678378652485	-5.42130957902866	11.2189110533723	1.61555015151244
153.528546262821	5.0366598820132	5.16916249564547	0.000130594683279151	-6.36770791785783	8.96416841572361	1.71623871124965
167.090854796175	5.31542401349335	6.61455063150802	0.000186487827686773	-4.49314655089538	9.27988909307944	1.12996176333539
162.224367982113	5.71231241978855	6.55624453389396	0.000174162945252499	-5.35742668418985	9.03214577810885	1.42543856933992
121.598570779122	8.04101046617407	9.04571250483312	0.000277721639299396	-6.50091567591873	5.6697380256338	1.12435831011319
180.840300718554	5.38851821608981	6.43038288660337	0.000177220304569571	-8.33744369670396	9.44762633189852	1.37257837581047
129.253663039691	5.47613791175278	6.79974428893521	0.000169030086198355	-8.34404406960608	6.17376944511334	1.12817943960586
