Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr	GABAplus
0.00175284392776372	0.00694000769733502	0.00270219625432778	0.000350957270937769	0.0849078210418954	0.0805629524488527	0.272711436645521	0.572761640188764	1.30321376852996	0.0118399334811839	0.104226513276406	1.39586623439746	0.248573944351015	0	0.00409507176424157	0.0925107871373866	0.131825634194762	0.0752933113320024	0.229170203425899	0	0	0	0	5.90793112327986e-17	0	2.04617872231251e-17	1.64444017874848	1.87597540871872	0.0805629524488527	0.00679726801856934	0.314078024467794
4.27399168851764e-06	0.00537333094967631	0.0126107747717716	0.000173240336235607	0	0	0.350812715247591	0.445602423082706	1.08752251409826	0.00689477302577332	0.0928041187000514	1.48308321491622	0.0936041114893644	0	0.0268398069548647	0.0123626027717907	0	0.017934763659074	0.250200530806353	3.78970781595293e-05	9.58991342976879e-06	3.0996157948363e-05	0	0	0	1.22693393834755e-18	1.57668732640559	1.53312493718096	0	0.0394505817266364	0.250200530806353
1.18713543049715e-05	0.00785626688599793	0.00564348750415699	0.0143276071066837	0.00778739783147001	0.0387218368676108	0.416533524884573	0.514200649341	1.05346117231341	0.00573298806272916	0.0570470942731235	1.52535596330042	0.106482808382835	0	0.0106708777549107	0.0029161585889152	2.43133390108366e-06	0.0648911528806543	0.250694519841282	0	0	0	0	0	2.17369836866257e-18	6.54067947240989e-19	1.63183877168325	1.56766182165441	0.0387218368676108	0.0163143652590677	0.258481917672752
0	0.00595656869233588	0.0100209303225289	0.000319480747813913	0.0908950496466637	0.00148061983720655	0.253489491598758	0.511413807366213	1.21193829264683	0.00916145065361628	0.102306476441114	1.25696042728994	0.181821204325528	0	0.0195306398936416	0.0104210346760618	0	0.0247940200296161	0.207184773912858	0	0	0	0	3.18102749071106e-16	2.27905999943851e-16	0	1.43878163161546	1.72335210001305	0.00148061983720655	0.0295515702161705	0.298079823559522
2.29772747214021e-05	0.00117867655225792	1.42894427169835e-07	0.000111665272839117	0.204677795229741	0.0813215307019097	0.546565883812243	0.654622998750613	1.04689289388134	0.00218032451778236	0.197182858091667	1.38786466981472	0.19143189153765	0.125661260800677	3.11511724972076e-07	0.00398375583779682	0	0.00896253495562325	0.0982070886624426	0.0643734391187101	0	0	0	0	0	0	1.57929656135237	1.70151589263195	0.206982791502587	4.54406152141911e-07	0.302884883892184
0.000456120275982483	0.0159948639587131	0	0.000144026874812178	0.0526832712361208	0.000980450712070602	0.379730061200207	0.426325972597074	1.01085233488268	0.00588958720999481	0.176142263766746	1.30480719191772	0.106358938910463	0.0271061668042794	0	0.00470389409359309	0.0194079995067071	0.00668359959057163	0.234984189533656	0.00854800897603844	0	0	0	1.60293792336877e-17	0	0	1.41116613082818	1.43717830747976	0.02808661751635	0	0.287667460769777
0	0.00915924548441005	0.0394522385700565	0.000536922311009291	0.000157448316325456	0	0.348084240072875	0.513203020320925	1.18164324699308	0.00901024413034162	0.0036925171999263	1.49994966212387	0.127363107366704	0	0.0238021919327282	0.0393088461433643	0	0.00626645989627996	0.26370812270598	0	0	0	0	0	1.1370512971906e-17	4.05955223674268e-18	1.62731276949058	1.69484626731401	0	0.0632544305027847	0.263865571022305
0.0346680356407671	0.00466881777457534	0.0153976992554817	0.000172747890670652	0.0110730890023916	0	0.274369738200354	0.372350654184956	1.18625005037352	0.00885045474933675	0.0301265279042467	1.52467791853876	0.182549733119637	0	0.0281179159534349	0.00276780287242905	0	0.00636307446280246	0.299218924115888	0	0	0	0	9.3711700631388e-18	2.56494652159057e-18	0	1.7072276516584	1.55860070455847	0	0.0435156152089166	0.31029201311828
7.13894492742417e-05	0.0167546692910064	0.0231983082571168	0	0.167564961006374	0.0069052221931927	0.388751478434913	0.535021976749971	1.13388994455418	0.0105643667836668	0.152144926873323	1.29986598725192	0.194338193220304	0.0547703282862577	0.0171181231885326	0.00271416406514118	0.0261775705314489	0.0464598747174937	0.166094793466908	0.00961258404159432	0	0.000240647353121672	0	4.19348968846871e-17	9.88779056809848e-18	1.88447695558146e-17	1.49420418047223	1.66891192130415	0.0616755504794504	0.0403164314456494	0.333659754473282
0	0	0.00326349804043848	0	0.0147123354615053	0.00946204170899226	0.257511383736626	0.537732978860433	1.05908550862659	0.00544273995834319	0.0388506274769102	1.13421016012849	0.212477635501169	0	0.00545982686924553	0.00511417564985885	0	0.00570078395194896	0.185030742164938	0	0	0	0	5.83848478645716e-18	2.31220292986337e-18	1.15647869081321e-18	1.34668779562966	1.59681848748703	0.00946204170899226	0.00872332490968401	0.199743077626443
