Cr_SNR	Cr_FWHM	water_FWHM	residual_water_ampl	freqShift	relResA	relResdiff1
102.055775510416	6.97248822438969	6.04057023739097	13039370.6544156	-3.30293109656893	4.81813580592033	1.3495183343128
118.307902511592	6.64549567762281	6.04056649906591	27491295.173664	-2.62947744782069	6.92535039026037	1.46786540680024
117.933474723276	6.15558141463725	6.16263745745452	21240831.0571271	-4.38544440189078	7.30631942326301	1.61168507874087
109.126881865216	7.04501464108602	5.67435668115018	7820374.51746556	-4.39067269459265	9.69764264424786	4.63441032041824
126.339732989887	5.50922724816553	5.30814566140221	17904075.565863	-4.48962104700847	11.0692623105023	3.82153744486937
98.2210422754962	5.69417009380903	5.79642667653365	10484535.4828372	-4.36579747895871	4.78631151912088	1.77670501981619
140.624927309066	5.57991984684721	5.6743559921583	18724419.197669	-3.12631419357547	8.13689712708642	1.43121668616968
101.142398860555	7.17631781849141	6.28470831798126	13522366.2308026	-3.6401614811068	6.09308672314335	1.21319134562018
83.611512457865	5.86465593851718	5.55228620811267	5562262.07745029	-4.26603779649818	4.62501602004158	1.67211070516639
118.745708075669	6.04948558605603	5.13150615243728	5330333.0406163	-3.57431146363931	19.5656133221661	9.26309198464049
82.687404540047	5.87955189902404	3.47709132400699	6215984.99828199	-3.58390034988567	6.51350505977657	1.91615249966645
101.249441383795	6.41923977598917	4.94193447984134	8854189.86456524	-4.39823506999808	7.63312318082509	2.78981107101653
