Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr
0.00233996476136968	0.0434132220519226	0.839320862544512	0.405522194762198	0	0.21184304037743	0.206041236455135	0.145950789915637	0.593246790009303	0.627462954836096	0.0790916138043735	1.37431146698141	0.293287825561295	0	0.160679137455488	0.00916758809757832	0.0462548542709022	0	0.0694207408306017	0.0178578823761792	0.0438333081382579	0.0741995448370574	0.166575178718351	0.0280661878956127	0.111714306316464	0.00608979064391005	1.6675992925427	0.73919757992494	0.21184304037743	1
0.062703923552372	0.067457697780984	0.746310980042407	0.459618802918939	0	0.229739119134792	0.245443412969668	0.200490034973593	0.505771131576317	0.523061420702798	0.0800169096748342	1.40093509134177	0.235264536955308	0	0.253689019957593	0.0368587882334851	0.0398987649968441	0.0561827447526921	0.044873153579238	0.0438707751270387	0.00726525975630943	0.0722232562766311	0.362487733643187	0.0258881019402624	0.0598537992104364	0.113679367826496	1.63619962829708	0.70626116654991	0.229739119134792	1
0.0978968522576439	0.108255234532871	0.766371058163246	0.343382046423626	0	0.17251582172177	0.188153795323908	0.237502284613453	0.792022298526316	0.740355053281104	0.0728388964476893	1.41716019974606	0.204911710677112	0.0194865034287983	0.233628941836754	0.0167133873401468	0.0277331329379153	0.0510299515015994	0.0389714757116517	0.000451979688894276	0.0116768810416048	0.041174681320087	0.253926536284429	0.0262481682857759	0.042712439224926	0.0352807203475553	1.62207191042317	1.02952458313977	0.192002325150568	1
0.0215374450617119	0.0558704298907789	0.691279496511815	0.432123395788469	0	0.158153747293504	0.198463034263268	0.153354726599439	0.499569374966358	0.504935991960345	0.0750033657738575	1.39005929869279	0.23012547407812	0	0.308720503488185	0.00361208604266688	0.0265189432849398	0.0857719527113951	0.0489354223827899	0.0305109385673242	0.0754251233796331	0	0.184511952492654	0.0291198331751657	0.0874427661222083	0.0341413510299104	1.62018477277091	0.652924101565798	0.158153747293504	1
0	0.0600404138831475	0.799712856608196	0.405179390820487	0	0.205526535543933	0.24367873374387	0.183460129704517	0.681478085008738	0.606949202644033	0.0753518722140513	1.61540144502569	0.221946631631516	0.00282865396224077	0.200287143391804	0.0418940968231679	0.0152542383331217	0.012850053272857	0.0681110094750438	0.038848304403088	0.0352090422862508	0.0232648238245286	0.115525079994822	0.0241004511426538	0.134518505469094	0.0152882379141938	1.8373480766572	0.864938214713255	0.208355189506174	1
0	0.0818458303635979	0.784239636283738	0.432582021636796	0	0.182756226485312	0.231885741898987	0.154048644977602	0.718922559469177	0.47829244542114	0.0528730944224069	1.63026088695965	0.230118804768107	0.0130822869567538	0.215760363716262	0	0.0380066747233297	0.0635956959674	0.0707340017553491	0.0472319287308296	0.0249407182642587	0.00440130023847259	0.162065619388281	0.0345410106138406	0.110146314264162	0	1.86037969172776	0.872971204446779	0.195838513442066	1
0	0.0944879269076651	0.778495946313165	0.362984415762596	0.000254746231285895	0.177654481057726	0.20877367290173	0.280559901341163	0.898994799015935	0.610691238110181	0.0373021074199327	1.51215229869687	0.192900626059893	0.0148698427914057	0.221504053686835	0.0785291760427781	0.0234039279604878	0.0569285034067327	0.0961100768121978	0.0184189921658868	0.0299911494639604	0.00184967933421878	0.140214506275952	0.0363126868343714	0.0833654721197416	0.0138739496693663	1.70505292475676	1.1795547003571	0.192524323849132	1
0.127575114490465	0.0649150281900326	0.703442605548832	0.354835150528548	0	0.198486779087191	0.225444582662485	0.117664307661587	0.503689624663311	0.55704213162614	0.0441589577937212	1.46358011692087	0.256303373806161	0.00154374644537722	0.296557394451168	0.0335434481842259	0.0293804987637303	0.0209381490670838	0.0497025494095593	0.0344572161325812	0.000340543070840905	0.0222551291639798	0.138104263689441	0.0255331869700656	0.0469714239565282	0.00106670542533487	1.71988349072703	0.621353932324897	0.200030525532568	1
0.011334209719121	0.0800667706320629	0.728717425430197	0.389602016822381	0	0.200334993250872	0.210296509026601	0.171563664362816	0.629158989266001	0.509800287378638	0.0406745910523979	1.50594788777351	0.176525359204719	0.00309646569510256	0.271282574569803	0.0501379682753897	0.0278916105526327	0.0804899018926208	0.0506820105399012	0.0279393146305608	0.0096123182091076	0.0537037603733574	0.232933377185078	0.0609361556180355	0.090074866285838	0.0747496022899518	1.68247324697823	0.800722653628817	0.203431458945975	1
0.0391993817148823	0.0418283926664844	0.700223231805896	0.511428283437997	0	0.176928998917038	0.21406079491518	0.207097197121151	0.52828159332074	0.425538845229906	0.100616075306768	1.41972077381558	0.246326889155757	0.000514816806687923	0.299776768194104	0.0091513984516427	0.0203129366613684	0.0586533897175238	0.0412689157105404	0.0446237734718512	0.0285945100516774	0.00468615615297759	0.19581714011316	0.0266774717715712	0.0994550972756085	0.0257240814061317	1.66604766297133	0.735378790441891	0.177443815723726	1
0.000618353788003203	0.043802663157484	0.669870367800287	0.399701492882601	0	0.176530719546579	0.249558975405584	0.15564949430753	0.503107142734767	0.507839931646685	0.0100059404880008	1.45934751033512	0.310494774993652	0.00566347704188686	0.330129632199713	0	0.0337271090940145	0.0572721139436513	0.067848243787491	0.0945817084937877	0	0.0897176214623832	0.192647413668981	0.0272885855566737	0.167863749723886	0.0454831814407476	1.76984228532878	0.658756637042296	0.182194196588465	1
0	0.0946144843968284	0.721307036363266	0.524397689546736	0	0.172835005103084	0.197310958656731	0.206134602748238	0.606888574296981	0.562990283181379	0.0282932585528784	1.46471711050789	0.23634940293312	0.00102969671155895	0.278692963636734	0.00122277630125709	0.0278304999364502	0.0396167771876449	0.0659138641780127	0.0747484034894336	0.00298042014282673	0.101854282007267	0.279785326418793	0.0434916653265146	0.114308341985393	0.0564434418146491	1.70106651344101	0.813023177045218	0.173864701814643	1
