Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr
0.3254656515874	0.054921904951756	0.637868019100375	0.113589188511774	0.348259675991987	0.10144627486846	0.124819923042045	0.318729386764164	0.312908629344485	0.88808476319723	0	0.00612084416341145	0.00503699853325502	0.118953057100499	0.362131980899625	0.0457826470504652	0.0165308092356732	0.0618403242446127	1.92629263439778e-05	2.72435949527262e-06	0	2.94330029929658e-06	0.0378294620779784	1.92190813999272e-05	0	0	0.0111578426966665	0.631638016108649	0.220399331968959	1
0.248386581460331	0.0772502722998226	0.64581347512718	0.12922327086433	0.216003221399031	0.0947925868008724	0.0847549778445871	0.329997163598888	0.350986891098076	0.857067561377371	0	0.000698545100574805	0.00164145557429706	0.110162565918696	0.35418652487282	0.083569002827181	0.0160615609191273	0.0362721665470187	0.0189217523727316	1.44320802165e-05	1.22394741949005e-05	1.52003663039343e-05	0.0172712600142316	2.58408194370762e-05	0.00229783412906064	0	0.00234000067487186	0.680984054696964	0.204955152719569	1
0.274978370516258	0.0757341677603285	0.722726961864474	0.143106799404996	0.3175831872937	0.106444475286658	0.133711464990604	0.40745883965246	0.384368141125434	0.94574359613472	0	0.0270921067142899	0.00522535980720026	0.118681825740513	0.277273038135526	0.0635824151364447	0.0156409208203882	0.0365700094872199	0.02338407535279	0	0.0196660384074756	0	0.0201546920403655	0	2.65529968314476e-05	0	0.0323174665214902	0.791826980777894	0.225126301027171	1
0.312900187759163	0.0854441762055543	0.70417498040594	0.149870155660993	0.118570239183151	0.126044027186725	0.0961389790405278	0.34724439919541	0.320499488496983	0.89010633479121	0	0.00613541941723821	0.00590784912222785	0.0975375224688819	0.29582501959406	0.0917214726474251	0.0248843941373624	0.0611734144897848	0.01304775123282	0	0.00118740663587399	0	0.0397598294504428	0.000913089557530976	0.00404858919028397	0	0.0120432685394661	0.667743887692392	0.223581549655607	1
0.337819456560386	0.0464632966975471	0.643888316372703	0.123771766845049	0.243137374830527	0.0656014667122868	0.0857778125916675	0.423539713337188	0.452133653948835	0.942806036692278	0	0.00841283991430639	0.010710165722611	0.119123186337056	0.356111683627297	0.056493676694012	0.0164145583441963	0.105906286241672	0	0	0	0	0.0357575239880402	0	0	0	0.0191230056369174	0.875673367286024	0.184724653049343	1
0.296826965186974	0.11372023933113	0.688328406920505	0.146260065887322	0.242181418876911	0.103074257709151	0.102669478978351	0.348682407124299	0.361146289469352	0.93417786545156	0	0.00738966782416312	0.00197741917371945	0.0760011134519289	0.311671593079495	0.0280654029659948	0.0023326837259926	0.12537779619779	0	0.0209268127013629	0.00858842643325006	0	0.0419451817428368	0	0	0	0.00936708699788256	0.709828696593652	0.179075371161079	1
0.232483448595943	0.0450757852487745	0.676120090277204	0.124961300519479	0.317056441798624	0.0774578301648889	0.108819581954135	0.318009555103979	0.303163970776849	0.911685848689658	0	0.00608372415016734	0.00647739863753052	0.11592298442634	0.323879909722796	0.0488977625178227	0.0184449062080806	0.0788522246291032	7.62448889214882e-05	0.0137659455464832	3.49273304957037e-05	1.14302159834094e-06	0.0313860907992	8.73077128753551e-05	0.00868397774375316	0	0.0125611227876979	0.621173525880827	0.193380814591229	1
0.304611196057226	0.0800630198292503	0.706336469234153	0.13443425834263	0.30033098153104	0.076703969502719	0.113158770300113	0.331873029541247	0.333223419401883	0.92309610158153	0	0.00272489257457198	0.00652420029930954	0.141520890398152	0.293663530765847	0.11242868356072	0.0347814218156402	0.0859812677333121	2.98291545324854e-06	9.94498624954235e-07	1.61149001663479e-07	0.00575295672995802	0.0439028781947186	0.00628589114801303	0.00890736768294014	0	0.00924909287388152	0.66509644894313	0.218224859900871	1
0.340122652292728	0.0648507641013894	0.677008721908592	0.138781859735994	0.287641011049609	0.0746931233573273	0.0967253123776104	0.370824966634645	0.395514365514762	1.01041231938901	0	0.00787837452477116	0.00806074129519522	0.147783299021657	0.322991278091408	0.0907582354995177	0.0379914910777279	0.0777660040746683	1.04983404454786e-06	1.44331737239989e-06	0	0	0.032642470545714	2.92586182016054e-06	0.0217978701364628	0	0.0159391158199664	0.766339332149408	0.222476422378985	1
0.261046247611441	0.0317268388316668	0.656138116131696	0.145942944196771	0.271508484417982	0.0838950982829338	0.131348237826288	0.282250698522287	0.258991848047899	0.790580040207207	0	0.0208345487544459	0.00942545784302496	0.0892815025980273	0.343861883868304	3.21082364448416e-05	0.0457015600025581	0.0364152402830988	0	5.86721930291292e-06	0	0	0.0382265920554557	0	0	0	0.0302600065974709	0.541242546570186	0.173176600880961	1
0.300880224512623	0.0965280790671407	0.772986138623617	0.180957439850572	0.0509281085865304	0.101932133775256	0.115487858193672	0.397163062304056	0.374313090460822	0.854684934621861	0.0135367327212445	0.00359808471383081	0.0335445937371024	0.10033598107623	0.227013861376383	0.125142054402232	0.024883926958051	0.0512262231959829	0.000152875489856139	0.000120394355035436	0.0113663375146414	0.000161972835264497	0.0294017881377417	0.040167183869888	0.000275102119798738	0	0.0371426784509333	0.771476152764878	0.202268114851487	1
0.208063328219447	0.0434340298600844	0.685787126879617	0.150225521312736	0.210385841318842	0.0937683335595459	0.101690162249159	0.265352388082623	0.252386565235476	0.712437195713631	0	0.00709243655316217	0.0115085037679341	0.0910624170634775	0.314212873120383	0.025949333564691	0.0242101884457131	0.0491946725175855	0	8.67998219226038e-06	0	0	0.0411955999455907	1.02878566759177e-08	0	0	0.0186009403210963	0.5177389533181	0.184830750623023	1
