Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr	GABAplus
0.00155804363378124	0.00447900853779152	0.000180030429652309	0.0352777774205147	0.145823204838901	0.00107174199084373	0.175609251035276	0.157580091975598	0.858568922195961	0.00180466061739584	0.044416136967107	1.19696841603186	0.161683441430426	0.000656418130874157	0.00815823963089112	0.000539028762350775	3.80184193719922e-05	0.017096243871593	0.164755437805633	0	0.0088225215918404	0	0.0175364217617406	6.34855302361641e-18	0	2.02968836933659e-18	1.35865185746229	1.01614901417156	0.00172816012171789	0.00833827006054343	0.310578642644534
0.0180092411164246	0.000320176926119423	2.35548450921468e-06	0.000240423060742623	0.16627002885308	0.0310647938811475	0.182794780542285	0.159204223542053	0.910367974755897	0.00282525683422212	0.0561757629821355	1.37345473436539	0.176746699848666	0.00080847221400911	0	0.00179629594244731	0.000181934877486404	0.00431742230727023	0.157992055736607	0	0	0	0	0	7.99243056169506e-17	0	1.55020143421405	1.06957219829795	0.0318732660951566	2.35548450921468e-06	0.324262084589688
0.000372461358712935	0.00123178522911303	0.000124532084617625	7.68204479211018e-05	0.11337987486372	0.00132463503369553	0.187994622147691	0.183604578693802	0.860840021360405	0.0204866268974126	0.0689961755174103	1.31429177651683	0.0938540025176588	0.00103748517378863	3.40171093194063e-05	0.000640796636280956	0.000191962924468142	0.0035296388066762	0.168268158698939	0	0	0	0	2.77595655868954e-18	0	0	1.40814577903449	1.04444460005421	0.00236212020748416	0.000158549193937031	0.281648033562659
0.0359687682167023	0	1.4889940402165e-05	0.000202775061633971	0.091417681838807	0.00124970191102355	0.194252864110102	0.143500250194551	0.803258332696516	0.00274168718067862	0.0832769684824275	1.27213492353273	0.103949167150877	0.00155454665995004	0	0.000621696500928267	0.000176068088135123	0.00107069079294635	0.161167884220406	0	0	0	0	8.64793663659735e-18	0	7.66259593132534e-18	1.37608409068361	0.946758582891067	0.00280424857097359	1.4889940402165e-05	0.252585566059213
0.000695611998009606	0.00108181334975737	1.7924686881964e-05	0.000110715171871131	0.115529866796398	0.0011580097072765	0.17135708688846	0.188102810301415	0.724058805276993	0.0407803180166993	0	1.27479413244587	0.0888735475239329	0.00122238436891269	0	0.000565291643772667	9.87213790045202e-05	0.00192806666243553	0.179510861836396	0	0	0	0	0	5.82504475209241e-18	1.6313470686888e-17	1.3636676799698	0.912161615578409	0.00238039407618919	1.7924686881964e-05	0.295040728632793
0.00103013272811119	0	0.000200601495096588	0.0913849984474803	0.118095041747101	0	0.207271578638676	0.0449165644874083	0.741949016655707	0.000371130623295328	0.211814103400069	1.27683952488249	0.0405169985910804	0	0	0.170224943791978	0	0.00170535781227125	0.137318668862386	0.0210982339002325	0	0	0.0166914455037118	3.44839896722209e-18	0	1.42802716515956e-17	1.31735652347357	0.786865581143115	0	0.000200601495096588	0.255413710609487
0.000589296805647097	0	0	0.000297128484202737	0.0847158596895124	0.00243894616717268	0.159216203045078	0.109564488308885	0.805103253949455	0.00128261935452925	0.0567228905594667	1.43035848992596	0.0858022827717007	0.00254004473358256	0	0.0014213275720827	3.97496372615677e-05	0.00153567271887092	0.18036067383164	0	0	0	0	1.43619007866626e-17	0	1.62363176182102e-17	1.51616077269766	0.91466774225834	0.00497899090075524	0	0.265076533521152
0.00105099879978166	0	0	0.000206987073277452	0.0892438242520895	0.000737114409792565	0.17068484653333	0.0973265549529801	0.661812760743333	0.00203649791094341	0	1.16944299797645	0.0999015663329684	0.00091015359767667	0.0126805709126286	0.000444808597721766	0.000121780595419746	0.000967176792244027	0.141392052532121	0	0	0	0	1.40239556621654e-17	2.47846336814919e-18	1.97171126960544e-18	1.26934456430942	0.759139315696313	0.00164726800746924	0.0126805709126286	0.230635876784211
0.000943863996788796	0.0139346342872364	0.017453383285691	0.0183124945637959	0.11433439628519	0.00140183215548085	0.177307777453778	0.0521661248585265	0.919665952241155	0.00324712218749605	0	1.33068758969402	0.132686098795886	0.000793502467276005	0	0.00136093900227126	3.1623608963799e-05	0.00155041554112778	0.171600937913588	0	0	0	0	0	0	2.90458267483601e-18	1.4633736884899	0.971832077099682	0.00219533462275686	0.017453383285691	0.285935334198779
0.000252863917554537	0.000890529041318779	1.91358074433292e-06	0.000201519068752114	0.125117818247048	0.000399075308192763	0.182798514823908	0.142351632488457	0.756534937299875	0.00242407776343711	0.100642192437539	1.21575867062858	0.109334056036936	0.0006478155792431	0	9.12660844252341e-05	0.000104511989584775	0.00109819454319846	0.145239905416537	0	0	0	0	1.59475109501887e-17	1.24786357515182e-17	1.06284725994e-17	1.32509272666552	0.898886569788332	0.00104689088743586	1.91358074433292e-06	0.270357723663585
0.0746134430960572	0.000196942050830671	9.25200749943062e-06	0.000223155968984609	0.106274765146914	0.0414669851414048	0.182175571121415	0.101243035667637	0.873067062795801	0.040324426330726	0	1.28828256243878	0.116492410332379	0.00159740278486583	0.100498290901473	0.000929736264164539	0.000156563109518835	0.00481006537954007	0.179703814236113	0	0.00524012823686562	0.0149929883144133	0.0134986709123306	0	0	0	1.40477497277116	0.974310098463438	0.0430643879262707	0.100507542908972	0.285978579383027
0.000740124606280964	0.00144929497874384	5.29640434984674e-05	0.000231254152293287	0.138828977038627	0.000238677279398985	0.196133763923054	0.120429735367383	0.950913138797132	0.00254834828466397	0.0361480389704868	1.30956503631001	0.196066673509435	0.000919943819965437	1.75019164235719e-05	0	7.22375472134328e-05	0.000653012476068334	0.166791847894068	0	0	0.00755815247482801	0	0	2.23150737440426e-18	0	1.50563170981945	1.07134287416452	0.00115862109936442	7.04659599220393e-05	0.305620824932695
